feature,importance
shipping_method_express,0.11037503
used_coupon,0.074150555
product_category_electronics,0.061305646
payment_method_apple_pay,0.057990767
device_type_mobile,0.056648802
discount_x_coupon,0.047395233
product_category_clothing,0.039913744
device_type_desktop,0.039343916
payment_method_debit_card,0.027896984
product_category_toys,0.025339976
shipping_method_standard,0.023546811
product_category_beauty,0.023241226
past_purchase_count,0.022849262
product_category_home,0.022420486
payment_method_credit_card,0.01928959
product_price,0.018706473
log_product_price,0.018564463
product_category_sports,0.018228866
delivery_delay_days,0.017938536
shipping_method_same_day,0.017134799
num_product_views,0.014189707
log_num_product_views,0.01399514
delay_x_rating,0.013434352
log_session_length,0.013210432
discount_amount,0.013187358
price_x_discount,0.013071765
payment_method_paypal,0.01271737
session_length_minutes,0.012385816
rating_x_return,0.011924041
price_x_rating,0.010990427
past_return_rate,0.010909992
is_delayed,0.010870751
view_x_session,0.01080615
product_rating,0.010733716
price_per_view,0.010678592
discount_percent,0.010210931
paid_amount,0.010077904
paid_amount_per_view,0.009920261
customer_age,0.009840872
device_type_tablet,0.009790614
views_x_rating,0.009677103
log_paid_amount,0.009120005
high_discount,0.0059755514
is_early,0.0
